Dirección;Localidad;Teléfono;email;Entidad_Titular;Sector;servicio_id;cod_catalogo;des_catalogo;CUSEC;Seccion_id
CALLE GRAN VIA DE SAN MARCOS 4-1º OFICINA 1;LEON;987 230062;adavasleon@adavas.org;ASOCIACIÓN DE AYUDA A VÍCTIMAS DE AGRESIONES SEXUALES Y VIOLENCIA DOMÉSTICA - ADAVAS;MUJER;3695;1.6;Servicio de información especializada sobre mujer;2408903010;1014
AVENIDA REINO DE LEON 12;LEON;987 261449;info@isadoraduncan.es;FUNDACIÓN DE FAMILIAS MONOPARENTALES ISADORA DUNCAN;INCLUSIÓN SOCIAL;3698;1.10;Servicio de información especializada sobre inclusión social;2408910005;1080
CALLE SIERRA PAMBLEY 6;LEON;987 218617;caritas@caritasdeleon.org;CARITAS DIOCESANA DE LEÓN;INCLUSIÓN SOCIAL;3699;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;2411503001;1134
CALLE SAN GUILLERMO 31 3A;LEON;687 584633;leon@accem.es;ACCEM;INCLUSIÓN SOCIAL;3700;29.10;Servicio de alojamiento para personas sin hogar;2408910005;1080
CALLE CAMPOS GOTICOS (LOS) 3;LEON;987 209764;coordinacion@asociacionaurin.org;"ASOCIACION JUVENIL ""AURYN""";INFANCIA (Y JUVENTUD);3701;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;2408908002;3508
AVENIDA ORDOÑO II 10;LEON;987 895500;juanjose.compadre@jcyl.es;AYUNTAMIENTO DE LEÓN;INCLUSIÓN SOCIAL;3704;31.1;Servicio de distribución coordinada de alimentos;2408902010;1004
CALLE CID 24;LEON;987 252535;castillayleon@cruzroja.es;CRUZ ROJA ESPAÑOLA;MUJER;3706;2.3;Serv.valoración, orientación, planificación caso - situaciones de violencia de género;2411503001;1134
PLAZA SAN MARCELO 6;LEON;987 085003;deerechossociales@dipuleon.es;DIPUTACIÓN PROVINCIAL DE LEÓN;POBLACIÓN GENERAL;3707;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;2408903010;1014
CALLE CAMPOS GOTICOS (LOS) 3;LEON;987 209764;coordinacion@asociacionauryn.org;"ASOCIACION JUVENIL ""AURYN""";TOXICOMANÍAS Y ADICCIONES;3708;11.3;Serv. de prevención del consumo de drogas y de disminución de los riesgos en menores y jóvenes;2408908002;3508
AVENIDA JOSE AGUADO 2;LEON;987 248363;secretaria@arleleon.org;ASOCIACIÓN PROVINCIAL DE ALCOHÓLICOS REHABILITADOS DE LEÓN (ARLE);INCLUSIÓN SOCIAL;3716;29.10;Servicio de alojamiento para personas sin hogar;2408908002;3508
PLAZA DE LAS CORTES LEONESAS 9,1ºIZQ;LEON;987 210126;gerencia@alfaem.org;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;PERSONAS CON DISCAPACIDAD;3717;9.2;Servicio de promoción de hábitos y estilos de vida saludables;2411503001;1134
CALLE SAN ANTONIO (GRUPO ESCOLAR CERVANTES S/N;LEON;987 084948;amidown@amidown.org;DOWN LEÓN - AMIDOWN - ASOCIACIÓN AMIGOS SÍNDROME DE DOWN;PERSONAS CON DISCAPACIDAD;3725;11.6;Serv. apoyo familiar-promoción autonomía personal-situaciones de dependencia y/o discapacidad;2408903015;1019
CALLE MEDICOS SIN FRONTERAS 8;PONFERRADA;987 455120;informacionph@gmail.com;FUNDACIÓN CENTRO ASTORGANO LEONÉS DE SOLIDARIDAD - CALS;INCLUSIÓN SOCIAL;3767;2.6;Serv.general de información, orientación, apoyo y seguimiento a personas drogodependientes;2411502017;1133
CALLE REAL 63;PONFERRADA;669 017804;director@caritasastorga.com;CARITAS DIOCESANA DE ASTORGA;INCLUSIÓN SOCIAL;3769;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;2411502004;1120
AVENIDA LIBERTAD (LA) 31;PONFERRADA;669 017804;director@caritasastorga.com;CARITAS DIOCESANA DE ASTORGA;INCLUSIÓN SOCIAL;3770;1.10;Servicio de información especializada sobre inclusión social;2411502004;1120
CALLE MEDICOS SIN FRONTERAS 8;PONFERRADA;987 455120;informacionph@gmail.com;FUNDACIÓN CENTRO ASTORGANO LEONÉS DE SOLIDARIDAD - CALS;MUJER;3771;29.6;Serv. atención integral a mujeres drogodependientes en situación de violencia de género;2411502017;1133
AVENIDA LIBERTAD (LA) Nº 31;PONFERRADA;987 423578;info@bedabierzo.org;BERGIDUM EX DEPENDIENTES ASOCIADOS;TOXICOMANÍAS Y ADICCIONES;3773;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;2411501012;1116
CALLE PICONES (LOS) S/N;SAN ANDRES DEL RABANEDO;987 844318;ssociales@aytosanandres.es;AYUNTAMIENTO DE SAN ANDRÉS DEL RABANEDO;POBLACIÓN GENERAL;3786;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;2414202013;1188
CALLE PICONES (LOS) S/N;SAN ANDRES DEL RABANEDO;987 844318;ssociales@aytosanandres.es;AYUNTAMIENTO DE SAN ANDRÉS DEL RABANEDO;POBLACIÓN GENERAL;3787;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;2414202013;1188
CALLE BURGOS;PALENCIA;979 715100;;DIPUTACIÓN PROVINCIAL DE PALENCIA;POBLACIÓN GENERAL;3804;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;3412005006;1430
CALLE CRUZ ROJA (DE LA) 5;PALENCIA;689 662599;;CRUZ ROJA ESPAÑOLA;MUJER;3805;2.3;Serv.valoración, orientación, planificación caso - situaciones de violencia de género;3412005004;1428
PLAZA MARIANO TIMON (DE) S/N;PALENCIA;670 903890;;AYUNTAMIENTO DE PALENCIA;(FAMILIA);3806;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;3412006002;1441
CALLE CRUZ ROJA (DE LA) 5;PALENCIA;689 662599;;CRUZ ROJA ESPAÑOLA;PERSONAS MAYORES;3808;9.4;Servicio de promoción de la relación con el entorno;3412005004;1428
CALLE ACACIAS (LAS) 2;PALENCIA;983 306466;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;MUJER;3809;2.3;Serv.valoración, orientación, planificación caso - situaciones de violencia de género;3412005004;1428
PLAZA MARIANO TIMON (DE) S/N;PALENCIA;979 7528537;;AYUNTAMIENTO DE PALENCIA;POBLACIÓN GENERAL;3810;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;3412006002;1441
CALLE ACACIAS (LAS) 2;PALENCIA;983 306599;gestion@aclad.net;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;TOXICOMANÍAS Y ADICCIONES;3813;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;3412005004;1428
CALLE VALENTIN CALDERON 2;PALENCIA;979 706109;;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;POBLACIÓN GENERAL;3833;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;3412005006;1430
CALLE FILIBERTO VILLALOBOS 1;BEJAR;923 402270;caritasbejar@caritasbejar.es;CARITAS INTERPARROQUIAL DE BÉJAR;INCLUSIÓN SOCIAL;3870;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;3715601001;1736
AVENIDA ESPAÑA 22;CIUDAD-RODRIGO;679 427326;andressanjose@icloud.com;ANDRÉS SAN JOSÉ VICENTE;PERSONAS MAYORES;3879;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3710703001;1689
CALLE SANTA CATALINA 72;FUENTEGUINALDO;660 995622;pacocrespo1965@icloud.com;RESIDENCIAS EXTREMEÑAS DE MAYORES, S.L.;PERSONAS MAYORES;3883;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3713601001;1717
CALLE AZAFRANAL 18 PASAJE, LOCAL 4;SALAMANCA;923 264547;ana@ayudatesalamanca.com;AYUDATE 2009, S.L.;PERSONAS MAYORES;3909;9.3;Servicio de adquisición de competencias para la vida autónoma;3727402001;1869
CALLE CRUZ ROJA 1;SALAMANCA;923 221032;salamanca@cruzroja.es;CRUZ ROJA ESPAÑOLA;PERSONAS MAYORES;3910;9.4;Servicio de promoción de la relación con el entorno;3727405008;1938
CALLE ESPEJO 14;SALAMANCA;923 217410;m.estilita.martin@lasalina.es;DIPUTACIÓN PROVINCIAL DE SALAMANCA;(FAMILIA);3911;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;3727404024;1930
CALLE MAESTRO TARREGA 6;SALAMANCA;696 795240;vrojo@ymca.es;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;INCLUSIÓN SOCIAL;3912;29.10;Servicio de alojamiento para personas sin hogar;3727403009;1897
AVENIDA CEDROS 30 LOCAL BAJO;SALAMANCA;637 364949;administracion@atulado.com.es;ATULADO AYUDA ASISTENCIAL, S.L.U.;PERSONAS MAYORES;3913;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3727405020;1950
CALLE ARIAS PINEL 31;SALAMANCA;923 220171;MERSAEL@MSN.COM;ASOCIACIÓN DE MUJERES RURALES DE SALAMANCA - ADEMUR;MUJER;3914;1.6;Servicio de información especializada sobre mujer;3727402006;1874
CALLE AZAFRANAL 18 PASAJE, LOCAL 4;SALAMANCA;923 264547;ana@ayudatesalamanca.com;AYUDATE 2009, S.L.;PERSONAS MAYORES;3918;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;3727402001;1869
CALLE SAN PATRICIO 5-7 BAJO;SALAMANCA;647 411577;info@cepaim.org;FUNDACIÓN CEPAIM - ACCIÓN INTEGRAL CON MIGRANTES;INCLUSIÓN SOCIAL;3923;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727401006;1862
CALLE SEXMEROS 2;SALAMANCA;986 046441;zairalarriba@fundacionimpulsarse.es;FUNDACIÓN IMPULSARSE PARA EL DESARROLLO DEL EMPLEO Y LA INTEGRACIÓN SOCIAL;INCLUSIÓN SOCIAL;3925;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727402001;1869
CALLE FERNANDO DE LA PEÑA 19 4º D;SALAMANCA;607 771891;salamanca@accem.es;ACCEM;INCLUSIÓN SOCIAL;3937;29.10;Servicio de alojamiento para personas sin hogar;3727405020;1950
CALLE MAESTRO ALBENIZ 1 2º I;SALAMANCA;650 114295;;ASOCIACION SALAMANCA ACOGE;INCLUSIÓN SOCIAL;3951;29.10;Servicio de alojamiento para personas sin hogar;3727403009;1897
CALLE PLATEROS 19, BAJO;SALAMANCA;923 121354;;ASECAL;INFANCIA (Y JUVENTUD);3961;26.7;Servicio de intervención educativa con menores infractores/as en medio abierto;3727404009;1916
CALLE CASTILLO 1;SAN ESTEBAN DE LA SIERRA;923 435300;asociacionasam1@gmail.com;ASOCIACION SALMANTINA DE AGRICULTURA DE MONTAÑA (ASAM);INCLUSIÓN SOCIAL;3972;1.10;Servicio de información especializada sobre inclusión social;3728401001;1985
CAMINO CARBAJOSA 9;SANTA MARTA DE TORMES;923 200388;;INSTITUTO SECULAR CRUZADA EVANGÉLICA;INCLUSIÓN SOCIAL;3979;26.16;Servicio de apoyo para la inclusión social;3729401010;3533
CALLE CAÑADA MARI GARCIA 9;ESPINAR (EL);921 524984;admon-segovia@cesal.org;CESAL;INCLUSIÓN SOCIAL;4009;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4007603001;2180
CALLE TERMINILLO (DEL);SEGOVIA;921 619985;segovia@accem.es;ACCEM;INCLUSIÓN SOCIAL;4029;29.10;Servicio de alojamiento para personas sin hogar;4019407004;2331
CALLE SAN FRANCISCO 58;SEGOVIA;983 307083;info@redincola.org;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;4030;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4019401004;2292
CALLE CAMINO DE LA PIEDAD 10;SEGOVIA;921 440202;segovia@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;4031;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4019404001;2305
CAMINO PIEDAD (LA) 10;SEGOVIA;921 440202;segovia@cruzroja.es;CRUZ ROJA ESPAÑOLA;(FAMILIA);4033;12.9;Serv.formación de cuidadores/as no profesionales de personas con dependencia;4019404001;2305
CALLE PUENTE DE SAN LORENZO (DEL) 22;SEGOVIA;921 433269;a.r.seg@hotmail.com;ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS DE SEGOVIA;TOXICOMANÍAS Y ADICCIONES;4035;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4019407004;2331
CARRETERA LOSA (LA) S/N;ORTIGOSA DEL MONTE;983 571000;;APRENDE A VIVIR ORTIGOSA S.L.;PERSONAS MAYORES;4050;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;4090101001;2366
CALLE SANTO DOMINGO DE SILOS 1 SEDE CRUZ ROJA SORIA;SORIA;975 234650;tirigoyen@cruzroja.es;CRUZ ROJA ESPAÑOLA;MUJER;4062;1.7;Servicio de información especializada sobre violencia de género;4217301001;2523
CALLE CABALLEROS 17;SORIA;975 101000;ssociales@dipsoria.es;DIPUTACIÓN PROVINCIAL DE SORIA;(FAMILIA);4063;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;4217303003;2547
CALLE SANTO DOMINGO DE SILOS 1;SORIA;975 234650;tirigoyen@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;4064;26.16;Servicio de apoyo para la inclusión social;4217301001;2523
CALLE VENERABLE CARABANTES 9-11;SORIA;677 402883;;ARESO ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS PROVINICIA DE SORIA;TOXICOMANÍAS Y ADICCIONES;4066;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4217303003;2547
POLIGONO INDUSTRIAL LAS CASAS, CALLE I, PARCELA 236;SORIA;975 200010;balso.soria@balso.es;ASOCIACIÓN BANCO DE ALIMENTOS DE SORIA;POBLACIÓN GENERAL;4078;31.1;Servicio de distribución coordinada de alimentos;4217302012;2542
CALLE DONANTES DE SANGRE 2;CAMPASPERO;653 150408;asaliagerencia@gmail.com;SG CAMPASPERO,S.L.;PERSONAS MAYORES;4083;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;4703001001;2633
CALLE OLLEROS 1;MAYORGA;983 751568;INFO@VALDECEA.COM;ASOCIACION CENTRO DE DESARROLLO RURAL VALDECEA;INCLUSIÓN SOCIAL;4090;1.10;Servicio de información especializada sobre inclusión social;4708401001;2713
CALLE MAYOR 4;TORDEHUMOS;983 393323;cdrsequillo@telerfonica.net;ASOCIACION CENTRO DE DESARROLLO RURAL EL SEQUILLO;INCLUSIÓN SOCIAL;4105;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4716401001;2819
CALLE MAYOR 4;TORDEHUMOS;983 393323;cdrsequillo@telefonica.net;ASOCIACION CENTRO DE DESARROLLO RURAL EL SEQUILLO;INCLUSIÓN SOCIAL;4106;1.10;Servicio de información especializada sobre inclusión social;4716401001;2819
CALLE FRAILES 6;VALDESTILLAS;983 455235;administracion@articulo1consultores.com;RESIDENCIA DE ANCIANOS TORRE DE ESPERANZA S.L.;PERSONAS MAYORES;4112;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;4718201001;2847
PLAZA MAYOR 22;VALLADOLID;615 680872;INFO@FECYLDACE.ORG;FEDERACIÓN DE CASTILLA Y LEÓN DE DAÑO CEREBRAL ADQUIRIDO (FECYLDACE);PERSONAS CON DISCAPACIDAD;4113;11.6;Serv. apoyo familiar-promoción autonomía personal-situaciones de dependencia y/o discapacidad;4718601001;2851
CALLE MAGALLANES 21;VALLADOLID;;asociacionamap@gmail.com;ASOCIACIÓN AMAP - ASOC MUNDIAL PARA LA AYUDA DE LOS PUEBLOS NECESITADOS;INCLUSIÓN SOCIAL;4114;26.16;Servicio de apoyo para la inclusión social;4718611028;3086
AVENIDA GLORIA FUERTES 35;VALLADOLID;983 843879;gerencia@rugbyelsalvador.com;FUNDACIÓN EL SALVADOR DE RUGBY;POBLACIÓN GENERAL;4115;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4718610051;3056
CALLE MARINA DE ESCOBAR 3;VALLADOLID;981 269955;meninos@meninos.org;FUNDACIÓN MENIÑOS;POBLACIÓN GENERAL;4116;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4718601001;2851
AVENIDA RAMON Y CAJAL 5;VALLADOLID;;;DIPUTACION PROVINCIAL DE VALLADOLID;POBLACIÓN GENERAL;4117;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;4718609001;3001
CALLE FUENTE EL SOL 2;VALLADOLID;983 371279;info@coceder.org;CONFEDERACIÓN DE CENTROS DE DESARROLLO RURAL (COCEDER);VOLUNTARIADO;4119;1.13;Servicio de información especializada sobre voluntariado;4718610001;3514
AVENIDA EURO 7;VALLADOLID;616 980081;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4120;9.2;Servicio de promoción de hábitos y estilos de vida saludables;4718610001;3514
AVENIDA EURO 7;VALLADOLID;616 980081;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4122;9.1;Servicio de prevención de la situación de dependencia;4718610001;3514
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4123;9.4;Servicio de promoción de la relación con el entorno;4718610001;3514
CALLE MIGUEL RUIZ DE TEMIÑO 3;VALLADOLID;983 306599;contabilidad@aclad.net;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;POBLACIÓN GENERAL;4129;29.9;Serv.atención residencial cuidados sociales y sanitarios, personas situación convalecencia;4718607022;3510
CALLE SAN BENITO Nº 1;VALLADOLID;;sints@ava.es;AYUNTAMIENTO DE VALLADOLID;INCLUSIÓN SOCIAL;4132;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;4718609001;3001
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4134;9.4;Servicio de promoción de la relación con el entorno;4718610001;3514
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4135;9.4;Servicio de promoción de la relación con el entorno;4718610001;3514
CALLE POLVORA 6;VALLADOLID;983 132828;valladolid@cruzroja.es;CRUZ ROJA ESPAÑOLA;MUJER;4136;1.7;Servicio de información especializada sobre violencia de género;4718607005;2957
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4137;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;4718610001;3514
PASEO CAUCE 92 BAJO;VALLADOLID;983 307047;castillaleon@scout.es;ASDE-EXPLORADORES DE CASTILLA Y LEÓN;POBLACIÓN GENERAL;4140;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4718604040;2913
CALLE POLVORA 6;VALLADOLID;983 132828;valladolid@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;4142;26.16;Servicio de apoyo para la inclusión social;4718607005;2957
CALLE PAJARILLOS 1;VALLADOLID;983 302823;info@calestecasaj.org;ASOCIACION CASA DE JUVENTUD ALESTE;INCLUSIÓN SOCIAL;4145;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4718604040;2913
CALLE POLVORA 6;VALLADOLID;983 132828;;CRUZ ROJA ESPAÑOLA;PERSONAS MAYORES;4146;9.3;Servicio de adquisición de competencias para la vida autónoma;4718602012;2864
CALLE SANTUARIO Nº 24 BIS;VALLADOLID;983 202301;;CARITAS DIOCESANA DE VALLADOLID;TOXICOMANÍAS Y ADICCIONES;4149;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718605002;2916
AVENIDA VALLE DE ESGUEVA Nº 8 BAJO;VALLADOLID;983 310285;atra.valladolid@gmail.com;ASOCIACIÓN PARA EL TRATAMIENTO Y REHABILITACIÓN DEL ALCOHOLISMO (ATRA);TOXICOMANÍAS Y ADICCIONES;4150;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718607022;3510
CALLE PUENTE LA REINA Nº 10;VALLADOLID;983 306466;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;TOXICOMANÍAS Y ADICCIONES;4153;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718607022;3510
CALLE CARDENAL TORQUEMADA Nº15 BAJO C;VALLADOLID;697 117270;valladolid@accem.es;ACCEM;INCLUSIÓN SOCIAL;4155;29.10;Servicio de alojamiento para personas sin hogar;4718608036;3511
CALLE PANADEROS Nº 70 5º B;VALLADOLID;697 117270;valladolid@accem.es;ACCEM;INCLUSIÓN SOCIAL;4156;29.10;Servicio de alojamiento para personas sin hogar;4718603003;2872
CALLE TAJAHIERRO S/N;VALLADOLID;983 356908;direccion@elpuentesaludmental.org;FEAFES VALLADOLID EL PUENTE;MUJER;4157;29.5;Serv. atención integral mujeres víctimas violencia género discapacidad enfermedad mental grave;4718610001;3514
PLAZA ESPAÑA 12;VALLADOLID;983 307083;;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;4162;1.10;Servicio de información especializada sobre inclusión social;4718601001;2851
CALLE AURORA 10;VALLADOLID;914 719719;progestionvalladolid@progestion.org;ASOCIACIÓN PROGESTIÓN;INCLUSIÓN SOCIAL;4169;29.10;Servicio de alojamiento para personas sin hogar;4718611028;3086
CALLE DOS DE MAYO 14-16;VALLADOLID;983 215205;;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;POBLACIÓN GENERAL;4179;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4718603003;2872
CALLE FUENTE LA REINA Nº 10;VALLADOLID;983 338806;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;TOXICOMANÍAS Y ADICCIONES;4182;26.21;Servicio de asistencia sociosanitaria ambulatoria a personas con drogodependencia;4718607022;3510
CALLE VALDEBUFO 25;VILLARALBO;;asociacionruralza@gmail.com;ASOCIACIÓN RURALZA;MUJER;4210;27.3;Servicio de apoyo para la integración sociolaboral de las mujeres en situación de vulnerabi;4926101001;3409
PLAZA VIRIATO S/N;ZAMORA;980 559300;presidencia@zamoradipu.es;DIPUTACIÓN PROVINCIAL DE ZAMORA;POBLACIÓN GENERAL;4214;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;0000000nan;
CALLE MIGUEL ISCAR 16;VALLADOLID;647 411577;NOTIFICACIONES@CEPAIM.ORG;FUNDACIÓN CEPAIM - ACCIÓN INTEGRAL CON MIGRANTES;INCLUSIÓN SOCIAL;4234;26.16;Servicio de apoyo para la inclusión social;4718601001;2851
CALLE PAJARILLOS 1;VALLADOLID;983 204054;info@federboscocyl.org;FEDERACIÓN DE CENTROS JUVENILES DON BOSCO DE CASTILLA Y LEÓN;INFANCIA (Y JUVENTUD);4235;12.10;Servicio de apoyo familiar para la inclusión social;4718604040;2913
CALLE TREVIÑO Nº 74;VALLADOLID;647 613265;proyectos@musicosporlasalud.org;FUNDACION SOCIAL DISTRICT;PERSONAS CON DISCAPACIDAD;4237;9.2;Servicio de promoción de hábitos y estilos de vida saludables;4718611042;3099
CALLE FRAY LUIS DE LEON 14;VALLADOLID;983 309915;coordinacionmarta@telefonica.net;PROCOMAR VALLADOLID ACOGE, PROMOCIÓN COLECTIVOS MARGINADOS VALLADOLID ACOGE;INCLUSIÓN SOCIAL;4239;1.10;Servicio de información especializada sobre inclusión social;4718605002;2916
CALLE MARTIN SANTOS ROMERO Nº 1;VALLADOLID;983 399633;dsp@intras.es;ENSUMA INSERCION Y EMPLEO, S.L.U.;INCLUSIÓN SOCIAL;4242;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718610030;3035
CALLE SANTUARIO Nº 4, BAJO;VALLADOLID;983 298269;VALLADOLID2SSVP.ES;SOCIEDAD DE SAN VICENTE DE PAUL;INCLUSIÓN SOCIAL;4246;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4718605002;2916
AVENIDA EURO 7;VALLADOLID;983 330603;beatriz.sedano@formacal.com;FORMACAL S.L.;PERSONAS MAYORES;4249;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;4718610001;3514
CALLE PUENTE LA REINA 10;VALLADOLID;983 306599;contabilidad@aclad.net;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;TOXICOMANÍAS Y ADICCIONES;4250;26.17;Servicio de atención de emergencia social para personas con drogodependencia;4718607022;3510
CALLE POLVORA 6;VALLADOLID;983 132828;;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;4252;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4718607005;2957
CALLE SAN BENITO Nº 1;VALLADOLID;;sints@ava.es;AYUNTAMIENTO DE VALLADOLID;(FAMILIA);4253;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;4718609001;3001
CALLE MIRABEL 9;VALLADOLID;983 378285;;FUNDACION ADSIS;INFANCIA (Y JUVENTUD);4255;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;4718609001;3001
CALLE TAJAHIERRO S/N;VALLADOLID;983 356908;programas@elpuentesaludmental.org;FEAFES VALLADOLID EL PUENTE;INCLUSIÓN SOCIAL;4256;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718610001;3514
CAÑADA REAL DE BURGOS Nº 7;VALLADOLID;670 313242;pilar@asociacionamee.org;ASOCIACION PARA LA MEDIACION EL ENCUENTRO Y LA ESCUCHA;INCLUSIÓN SOCIAL;4258;26.16;Servicio de apoyo para la inclusión social;4718608036;3511
CALLE MARIANO MIGUEL LOPEZ Nº 12 BAJO;VALLADOLID;983 474883;;ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS DE VALLADOLID;TOXICOMANÍAS Y ADICCIONES;4266;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718604018;2895
CAMINO LOS SALADOS;BENAVENTE;980 632663;gerencia@asprosub.org;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL VIRGEN DE LA VEGA (ASPROSUB VIRGEN DE LA VEGA);PERSONAS CON DISCAPACIDAD;4340;27.4;Servicio de apoyo para la integración sociolaboral de las personas con discapacidad;4902101001;3171
"CALLE FINCA ""EL CHAFARIL""";PELEAGONZALO;980 509994;administracion@caritaszamora.org;CARITAS DIOCESANA DE ZAMORA;INCLUSIÓN SOCIAL;4374;29.12;Servicio de asistencia residencial para personas con problemas de alcoholismo;4914701001;3301
CALLE VALDEBUFO 25;VILLARALBO;;asociacionruralza@gmail.com;ASOCIACIÓN RURALZA;MUJER;4393;1.6;Servicio de información especializada sobre mujer;4926101001;3409
CALLE VALDEBUFO 25;VILLARALBO;722 436373;asociacionruralza@gmail.com;ASOCIACIÓN RURALZA;PERSONAS CON DISCAPACIDAD;4395;24.11;Servicio de apoyo técnico a personas en situación de dependencia y/o discapacidad.;4926101001;3409
CALLE COLON 19;ZAMORA;686 123034;asociacionadasci@gmail.com;ASOCIACIÓN PARA EL DESARROLLO, APOYO SOCIAL, COOPERACIÓN E INCLUSIÓN (ADASCI);MUJER;4399;1.7;Servicio de información especializada sobre violencia de género;4927502006;3442
